system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,N18.4,"Chronic kidney disease, stage 4 (severe)",61150,2206,4,4,al17_competing_biomarker | egfr_result | falling_egfr | renal_dysfunction,Competing cause of cardiac biomarker elevation | Estimated glomerular filtration rate | Falling eGFR / rising creatinine | Renal dysfunction / chronic kidney disease,AL | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I87.2,Venous insufficiency (chronic) (peripheral),21317,2205,2,2,al05_competing_hypoalbuminemia | al34_competing_edema,Competing cause of edema | Competing cause of hypoalbuminemia or edema,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K76.9,"Liver disease, unspecified",22676,2143,2,2,al05_competing_hypoalbuminemia | al18_congestive_hepatopathy,Competing cause of hypoalbuminemia or edema | Congestive hepatopathy or competing liver disease,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I50.32,Chronic diastolic (congestive) heart failure,23838,2077,3,3,hf_any | hfpef | thick_walls,Heart failure | Heart failure with preserved ejection fraction | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R32,Unspecified urinary incontinence,8418,2071,3,3,neurogenic_bladder | urinary_incontinence | urinary_retention,neurogenic bladder | urinary incontinence | urinary retention,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N18.9,"Chronic kidney disease, unspecified",48174,1876,7,7,al03_competing_proteinuria | al05_competing_hypoalbuminemia | al17_competing_biomarker | al34_competing_edema | egfr_result | renal_dysfunction | wt18_competing_hypotension,Competing cause of cardiac biomarker elevation | Competing cause of edema | Competing cause of falling blood pressure | Competing cause of hypoalbuminemia or edema | Competing cause of proteinuria | Estimated glomerular filtration rate | Renal dysfunction / chronic kidney disease,AL | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R33.9,"Retention of urine, unspecified",11547,1762,3,3,neurogenic_bladder | urinary_incontinence | urinary_retention,neurogenic bladder | urinary incontinence | urinary retention,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R53.81,Other malaise,14226,1687,2,2,fatigue | malaise,Fatigue | Malaise,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I35.0,Nonrheumatic aortic (valve) stenosis,25738,1666,4,4,al33_competing_cardiomyopathy | as_valve | lflg_as | wt09_competing_hf_cause,Competing cause of cardiomyopathy | Competing cause of heart failure | Low-flow low-gradient aortic stenosis | Severe aortic stenosis,ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R80.9,"Proteinuria, unspecified",9355,1463,3,3,microalbuminuria | persistent_proteinuria | progressive_proteinuria,Persistent albuminuria / low-grade protein loss | Persistent proteinuria | Progressive proteinuria,AL | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N18.5,"Chronic kidney disease, stage 5",53561,1260,4,4,al17_competing_biomarker | egfr_result | falling_egfr | kidney_failure,Competing cause of cardiac biomarker elevation | Estimated glomerular filtration rate | Falling eGFR / rising creatinine | Kidney failure / end-stage renal disease,AL | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R13.19,Other dysphagia,6359,1226,4,4,choking | dysarthria | dysphagia | hoarseness,choking | dysarthria | dysphagia | hoarseness,AL | ATTRV | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R49.0,Dysphonia,5858,1222,4,4,choking | dysarthria | dysphagia | hoarseness,choking | dysarthria | dysphagia | hoarseness,AL | ATTRV | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I34.0,Nonrheumatic mitral (valve) insufficiency,12728,1187,2,2,wt09_competing_hf_cause | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of heart failure,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I26.99,Other pulmonary embolism without acute cor pulmonale,14912,1086,3,3,al17_competing_biomarker | al20_competing_dyspnea | al28_competing_effusion,Competing cause of cardiac biomarker elevation | Competing cause of dyspnea | Competing cause of serosal effusion,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I11.9,Hypertensive heart disease without heart failure,7874,827,4,4,al33_competing_cardiomyopathy | hypertension | wt09_competing_hf_cause | wt13_sarcomeric_hcm,Competing cause of cardiomyopathy | Competing cause of heart failure | Hypertension | Sarcomeric HCM / hypertensive remodeling,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K31.84,Gastroparesis,6831,805,6,6,delayed_gastric_emptying | early_satiety | gastroparesis | nausea | unintentional_weight_loss | vomiting,Gastroparesis / delayed gastric emptying | Unintentional weight loss / declining BMI | delayed gastric emptying | early satiety | nausea | vomiting,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N31.9,"Neuromuscular dysfunction of bladder, unspecified",6855,768,3,3,neurogenic_bladder | urinary_incontinence | urinary_retention,neurogenic bladder | urinary incontinence | urinary retention,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I95.1,Orthostatic hypotension,4432,721,2,2,hypotension | orthostatic_intolerance,Hypotension | orthostatic intolerance,AL | AL | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.9,"Cardiomyopathy, unspecified",5730,716,3,3,hfpef | restrictive_cardiomyopathy | thick_walls,Heart failure with preserved ejection fraction | Restrictive cardiomyopathy | Unexplained left-ventricular wall thickness / LVH,AL | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.19,Other persistent atrial fibrillation,6814,629,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.11,Longstanding persistent atrial fibrillation,7223,594,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H04.123,Dry eye syndrome of bilateral lacrimal glands,2813,590,2,2,dry_eye | glaucoma,dry eye | glaucoma,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.331,"Trigger finger, right middle finger",3211,575,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.20,"Chronic atrial fibrillation, unspecified",6028,571,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I50.33,Acute on chronic diastolic (congestive) heart failure,5789,570,2,2,hfpef | thick_walls,Heart failure with preserved ejection fraction | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.512,Non-pressure chronic ulcer of other part of right foot with fat layer exposed,14546,563,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N18.3,"Chronic kidney disease, stage 3 (moderate)",3320,525,3,3,egfr_result | falling_egfr | renal_dysfunction,Estimated glomerular filtration rate | Falling eGFR / rising creatinine | Renal dysfunction / chronic kidney disease,AL | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R80.1,"Persistent proteinuria, unspecified",3717,514,2,2,persistent_proteinuria | progressive_proteinuria,Persistent proteinuria | Progressive proteinuria,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.8,Other cardiomyopathies,6092,497,2,2,restrictive_cardiomyopathy | thick_walls,Restrictive cardiomyopathy | Unexplained left-ventricular wall thickness / LVH,AL | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.522,Non-pressure chronic ulcer of other part of left foot with fat layer exposed,8640,490,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M75.101,"Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic",3588,489,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I25.5,Ischemic cardiomyopathy,2233,416,2,2,al33_competing_cardiomyopathy | wt09_competing_hf_cause,Competing cause of cardiomyopathy | Competing cause of heart failure,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity,3581,405,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,R47.1,Dysarthria and anarthria,2605,402,4,4,choking | dysarthria | dysphagia | hoarseness,choking | dysarthria | dysphagia | hoarseness,AL | ATTRV | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I44.2,"Atrioventricular block, complete",2876,396,3,3,af | arrhythmia | conduction_disease,"AV block, bundle-branch block, or sinus-node disease | Atrial fibrillation or flutter | arrhythmia",AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.511,Non-pressure chronic ulcer of other part of right foot limited to breakdown of skin,3655,382,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
