system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,D69.2,Other nonthrombocytopenic purpura,768,123,2,2,al08_competing_purpura | ecchymosis,Competing cause of purpura or bruising | Spontaneous unexplained ecchymosis,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,E86.9,"Volume depletion, unspecified",948,119,2,2,al29_competing_hypotension | wt18_competing_hypotension,Competing cause of falling blood pressure | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I45.4,Nonspecific intraventricular block,189,118,3,3,af | arrhythmia | conduction_disease,"AV block, bundle-branch block, or sinus-node disease | Atrial fibrillation or flutter | arrhythmia",AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.322,"Trigger finger, left index finger",513,114,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.412,Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed,1852,88,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,G90.9,"Disorder of the autonomic nervous system, unspecified",586,85,3,3,dysautonomia | orthostatic_intolerance | wt18_competing_hypotension,Autonomic dysfunction / dysautonomia | Competing cause of falling blood pressure | orthostatic intolerance,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I48.4,Atypical atrial flutter,828,85,2,2,af | arrhythmia,Atrial fibrillation or flutter | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.422,Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed,1100,77,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity,540,76,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.351,"Trigger finger, right little finger",352,74,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,G61.81,Chronic inflammatory demyelinating polyneuritis,5027,70,2,2,cidp | immunotherapy_exposure,Chronic inflammatory demyelinating polyneuropathy | immunotherapy exposure,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.513,Non-pressure chronic ulcer of other part of right foot with necrosis of muscle,1195,67,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.518,Non-pressure chronic ulcer of other part of right foot with other specified severity,583,58,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.429,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity,304,48,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.523,Non-pressure chronic ulcer of other part of left foot with necrosis of muscle,1303,47,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.352,"Trigger finger, left little finger",178,47,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I44.39,Other atrioventricular block,149,46,3,3,af | arrhythmia | conduction_disease,"AV block, bundle-branch block, or sinus-node disease | Atrial fibrillation or flutter | arrhythmia",AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.528,Non-pressure chronic ulcer of other part of left foot with other specified severity,576,44,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.515,Non-pressure chronic ulcer of other part of right foot with muscle involvement without evidence of necrosis,674,41,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.514,Non-pressure chronic ulcer of other part of right foot with necrosis of bone,938,40,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.524,Non-pressure chronic ulcer of other part of left foot with necrosis of bone,642,38,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.421,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin,217,37,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N04.1,Nephrotic syndrome with focal and segmental glomerular lesions,6190,35,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.411,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin,162,34,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.419,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity,175,33,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.525,Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis,621,33,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.339,"Trigger finger, unspecified middle finger",128,33,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin,164,32,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.516,Non-pressure chronic ulcer of other part of right foot with bone involvement without evidence of necrosis,1115,31,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.5,Other restrictive cardiomyopathy,257,22,2,2,restrictive_cardiomyopathy | thick_walls,Restrictive cardiomyopathy | Unexplained left-ventricular wall thickness / LVH,AL | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.319,"Trigger thumb, unspecified thumb",82,20,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M75.100,"Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic",123,18,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.526,Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis,171,17,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,158,15,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,G90.8,Other disorders of autonomic nervous system,123,12,2,2,dysautonomia | orthostatic_intolerance,Autonomic dysfunction / dysautonomia | orthostatic intolerance,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.6,Alcoholic cardiomyopathy,57,11,2,2,al33_competing_cardiomyopathy | thick_walls,Competing cause of cardiomyopathy | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.329,"Trigger finger, unspecified index finger",62,11,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.413,Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle,103,10,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.502,Non-pressure chronic ulcer of other part of unspecified foot with fat layer exposed,177,10,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.349,"Trigger finger, unspecified ring finger",22,10,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.415,Non-pressure chronic ulcer of right heel and midfoot with muscle involvement without evidence of necrosis,98,8,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.416,Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis,280,8,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.423,Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle,85,7,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.425,Non-pressure chronic ulcer of left heel and midfoot with muscle involvement without evidence of necrosis,67,6,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H21.89,Other specified disorders of iris and ciliary body,11,5,2,2,iris_abnormality | scalloped_pupil,Scalloped pupil / characteristic pupillary abnormality | iris abnormality,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H43.21,"Crystalline deposits in vitreous body, right eye",11,4,2,2,floaters | vitreous_opacity,floaters | vitreous opacity,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.414,Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone,10,4,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.424,Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone,56,4,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.508,Non-pressure chronic ulcer of other part of unspecified foot with other specified severity,6,4,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N04.2,Nephrotic syndrome with diffuse membranous glomerulonephritis,274,4,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H43.22,"Crystalline deposits in vitreous body, left eye",15,3,2,2,floaters | vitreous_opacity,floaters | vitreous opacity,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.418,Non-pressure chronic ulcer of right heel and midfoot with other specified severity,6,3,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.426,Non-pressure chronic ulcer of left heel and midfoot with bone involvement without evidence of necrosis,11,3,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.428,Non-pressure chronic ulcer of left heel and midfoot with other specified severity,17,3,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.503,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle,27,2,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.505,Non-pressure chronic ulcer of other part of unspecified foot with muscle involvement without evidence of necrosis,65,2,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.506,Non-pressure chronic ulcer of other part of unspecified foot with bone involvement without evidence of necrosis,7,2,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.359,"Trigger finger, unspecified little finger",2,2,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,K59.8,Other specified functional intestinal disorders,23,1,3,3,constipation | diarrhea | gi_dysmotility,Unexplained gastrointestinal dysmotility | constipation | diarrhea,AL | ATTRV | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,L97.504,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of bone,2,1,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,E05.9,,0,0,2,2,al09_competing_weight_loss | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of unintentional weight loss,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H43.20,,0,0,2,2,floaters | vitreous_opacity,floaters | vitreous opacity,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,H43.23,,0,0,2,2,floaters | vitreous_opacity,floaters | vitreous opacity,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M66.821,,0,0,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M66.822,,0,0,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M66.9,,0,0,2,2,biceps_rupture | spontaneous_atraumatic_rupture,"Spontaneous / trivial-trauma rupture mechanism | Spontaneous distal biceps tendon rupture (""Popeye sign"")",AL | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,19943007,,0,0,4,4,al05_competing_hypoalbuminemia | al18_congestive_hepatopathy | al28_competing_effusion | al34_competing_edema,Competing cause of edema | Competing cause of hypoalbuminemia or edema | Competing cause of serosal effusion | Congestive hepatopathy or competing liver disease,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,20696009,,0,0,2,2,al05_competing_hypoalbuminemia | al34_competing_edema,Competing cause of edema | Competing cause of hypoalbuminemia or edema,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,233873004,,0,0,3,3,al33_competing_cardiomyopathy | hypertrophic_cardiomyopathy | wt09_competing_hf_cause,Competing cause of cardiomyopathy | Competing cause of heart failure | Hypertrophic cardiomyopathy,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,236403004,,0,0,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,236500003,,0,0,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,239267000,,0,0,2,2,trigger_finger | trigger_release,Trigger finger / stenosing tenosynovitis | Trigger finger release procedure,AL | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,250929008,,0,0,2,2,lv_cavity_geometry | small_lv_cavity,Left-ventricular cavity geometry | Small left-ventricular cavity,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,250931004,,0,0,2,2,lv_cavity_geometry | small_lv_cavity,Left-ventricular cavity geometry | Small left-ventricular cavity,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,250932006,,0,0,2,2,lv_cavity_geometry | small_lv_cavity,Left-ventricular cavity geometry | Small left-ventricular cavity,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,271737000,,0,0,2,2,al20_competing_dyspnea | al29_competing_hypotension,Competing cause of dyspnea | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,328383001,,0,0,2,2,al05_competing_hypoalbuminemia | al18_congestive_hepatopathy,Competing cause of hypoalbuminemia or edema | Congestive hepatopathy or competing liver disease,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,34095006,,0,0,2,2,al29_competing_hypotension | wt18_competing_hypotension,Competing cause of falling blood pressure | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,34486009,,0,0,2,2,al09_competing_weight_loss | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of unintentional weight loss,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,40930008,,0,0,2,2,al07_competing_macroglossia | al34_competing_edema,Competing cause of edema | Competing cause of macroglossia,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,414916001,,0,0,2,2,al20_competing_dyspnea | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of dyspnea,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,45227007,,0,0,2,2,al33_competing_cardiomyopathy | hypertrophic_cardiomyopathy,Competing cause of cardiomyopathy | Hypertrophic cardiomyopathy,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,49436004,,0,0,3,3,af | al17_competing_biomarker | arrhythmia,Atrial fibrillation or flutter | Competing cause of cardiac biomarker elevation | arrhythmia,AL | ATTRV | ATTRWT | ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,51689008,,0,0,2,2,cidp | immunotherapy_exposure,Chronic inflammatory demyelinating polyneuropathy | immunotherapy exposure,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,52254009,,0,0,2,2,al28_competing_effusion | nephrotic_syndrome,Competing cause of serosal effusion | Nephrotic syndrome,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,59282003,,0,0,3,3,al17_competing_biomarker | al20_competing_dyspnea | al28_competing_effusion,Competing cause of cardiac biomarker elevation | Competing cause of dyspnea | Competing cause of serosal effusion,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,59621000,,0,0,3,3,hypertension | wt09_competing_hf_cause | wt11_competing_af_cause,Competing cause of atrial fibrillation | Competing cause of heart failure | Hypertension,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,60573004,,0,0,2,2,lflg_as | wt09_competing_hf_cause,Competing cause of heart failure | Low-flow low-gradient aortic stenosis,ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,64715009,,0,0,3,3,al33_competing_cardiomyopathy | wt09_competing_hf_cause | wt13_sarcomeric_hcm,Competing cause of cardiomyopathy | Competing cause of heart failure | Sarcomeric HCM / hypertensive remodeling,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,709044004,,0,0,3,3,al05_competing_hypoalbuminemia | al17_competing_biomarker | wt18_competing_hypotension,Competing cause of cardiac biomarker elevation | Competing cause of falling blood pressure | Competing cause of hypoalbuminemia or edema,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,77182004,,0,0,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,8186001,,0,0,2,2,cardiomegaly | thick_walls,Cardiomegaly | Unexplained left-ventricular wall thickness / LVH,AL | AL | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,84114007,,0,0,5,5,al05_competing_hypoalbuminemia | al28_competing_effusion | al34_competing_edema | hf_any | hfpef,Competing cause of edema | Competing cause of hypoalbuminemia or edema | Competing cause of serosal effusion | Heart failure | Heart failure with preserved ejection fraction,AL | ATTRV | ATTRWT | AL | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
SNOMED_CT,91302008,,0,0,3,3,al17_competing_biomarker | al29_competing_hypotension | wt18_competing_hypotension,Competing cause of cardiac biomarker elevation | Competing cause of falling blood pressure | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,E85.81,Light chain (AL) amyloidosis,778,24,3,1,confirmed_al_e85_81 | confirmed_amyloidosis_e85_family | plasma_cell_dyscrasia,Confirmed AL / light-chain amyloidosis | Confirmed amyloidosis (ICD-10 E85 family) | Plasma-cell dyscrasia / multiple myeloma,AL | AL | ATTRWT | ALL_AMYLOIDOSIS,CONFIRMED_PRE_SCREEN | DIRECT_TARGET,REUSED_SUPPORT_CODE
ICD10,E85.3,Secondary systemic amyloidosis,7,2,2,1,al04_competing_nephrotic | confirmed_amyloidosis_e85_family,Competing cause of nephrotic syndrome | Confirmed amyloidosis (ICD-10 E85 family),ALL_AMYLOIDOSIS,CONFIRMED_PRE_SCREEN | DIRECT_TARGET,REUSED_SUPPORT_CODE
SNOMED_CT,715655000,,0,0,2,1,al33_competing_cardiomyopathy | confirmed_attr_e85,Competing cause of cardiomyopathy | Confirmed ATTR / known amyloidosis,ATTR,CONFIRMED_PRE_SCREEN | DIRECT_TARGET,REUSED_SUPPORT_CODE
