code,meaning,candidate_origins,suggested_atom_ids,suggested_atom_names,suggestion_scores
C47.11,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",ATOM_PHRASE_MATCH,cts_right,"Carpal tunnel syndrome, right","cts_right:3.0(tokens=limb,right,upper)"
C47.12,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",ATOM_PHRASE_MATCH,cts_left,"Carpal tunnel syndrome, left","cts_left:3.0(tokens=left,limb,upper)"
C47.8,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,ATOM_PHRASE_MATCH,dysautonomia,Autonomic dysfunction / dysautonomia,"dysautonomia:3.0(tokens=autonomic,nervou,system)"
C90.32,Solitary plasmacytoma in relapse,CONFIGURED_ICD_CATEGORY,plasma_cell_dyscrasia,Plasma-cell dyscrasia / multiple myeloma,plasma_cell_dyscrasia:3.0(same_icd_category;tokens=plasmacytoma)
D48.2,Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system,ATOM_PHRASE_MATCH,dysautonomia,Autonomic dysfunction / dysautonomia,"dysautonomia:3.0(tokens=autonomic,nervou,system)"
E08.3212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E08.59,Diabetes mellitus due to underlying condition with other circulatory complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E08.630,Diabetes mellitus due to underlying condition with periodontal disease,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E08.638,Diabetes mellitus due to underlying condition with other oral complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.01,Drug or chemical induced diabetes mellitus with hyperosmolarity with coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.11,Drug or chemical induced diabetes mellitus with ketoacidosis with coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease,ATOM_PHRASE_MATCH,diabetes | renal_dysfunction,Renal dysfunction / chronic kidney disease | diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu) | renal_dysfunction:7.0(phrase;tokens=chronic,kidney)"
E09.29,Drug or chemical induced diabetes mellitus with other diabetic kidney complication,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3532,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3533,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3539,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3541,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3542,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3543,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3549,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3551,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3552,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3553,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3559,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3591,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3592,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3593,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.3599,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.36,Drug or chemical induced diabetes mellitus with diabetic cataract,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.37X1,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.37X2,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.37X3,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.37X9,"Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.39,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.40,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.41,Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.44,Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.49,Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.51,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.52,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,ATOM_PHRASE_MATCH,charcot_arthropathy | diabetes,charcot arthropathy | diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu) | charcot_arthropathy:7.0(phrase;tokens=arthropathy,neuropathic)"
E09.618,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.620,Drug or chemical induced diabetes mellitus with diabetic dermatitis,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu)"
E09.622,Drug or chemical induced diabetes mellitus with other skin ulcer,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.628,Drug or chemical induced diabetes mellitus with other skin complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.630,Drug or chemical induced diabetes mellitus with periodontal disease,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.641,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E09.649,Drug or chemical induced diabetes mellitus with hypoglycemia without coma,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)"
E10.3212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.3552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.37X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.37X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.37X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",ATOM_PHRASE_MATCH,diabetes | v41_attrwt_pattern_gate,Cardiac ATTR-compatible phenotype + orthopedic prodrome with genotype unresolved | diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type) | v41_attrwt_pattern_gate:3.0(tokens=bilateral,follow,type)"
E10.37X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.620,Type 1 diabetes mellitus with diabetic dermatitis,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,diabetic,mellitu,type)"
E10.630,Type 1 diabetes mellitus with periodontal disease,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,mellitu,type)"
E10.638,Type 1 diabetes mellitus with other oral complications,ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,mellitu,type)"
E10.A0,"Type 1 diabetes mellitus, presymptomatic, unspecified",ATOM_PHRASE_MATCH,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,mellitu,type)"
