code,meaning,warehouse_row_count,warehouse_patient_count,candidate_origins,amyloid_tier,amyloid_signal_categories,review_bucket,suggested_atom_ids,suggested_atom_names,suggestion_scores,audit_flags
Z92.29,Personal history of other drug therapy,904,251,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,myeloma_therapy_exposure,Anti-myeloma therapy exposure,myeloma_therapy_exposure:3.0(same_icd_category;tokens=therapy),
Z68.43,"Body mass index [BMI] 50.0-59.9, adult",1143,248,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
I47.29,Other ventricular tachycardia,951,247,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,arrhythmia,arrhythmia,"arrhythmia:7.0(phrase;tokens=tachycardia,ventricular)",
I47.20,"Ventricular tachycardia, unspecified",1931,241,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,arrhythmia,arrhythmia,"arrhythmia:7.0(phrase;tokens=tachycardia,ventricular)",
R10.A3,"Flank pain, bilateral",958,238,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,abdominal_pain,Unexplained abdominal pain,abdominal_pain:3.0(same_icd_category;tokens=pain),
Z68.29,"Body mass index [BMI] 29.0-29.9, adult",915,238,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
E13.10,Other specified diabetes mellitus with ketoacidosis without coma,3254,233,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
H90.72,"Mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",1483,232,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,age_excessive_snhl,Bilateral sensorineural hearing loss disproportionate to age,"age_excessive_snhl:10.0(phrase;same_icd_category;tokens=hearing,loss,sensorineural)",
K31.A0,"Gastric intestinal metaplasia, unspecified",1195,231,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,delayed_gastric_emptying | gastroparesis,Gastroparesis / delayed gastric emptying | delayed gastric emptying,delayed_gastric_emptying:3.0(same_icd_category;tokens=gastric) | gastroparesis:3.0(same_icd_category;tokens=gastric),
R11.15,Cyclical vomiting syndrome unrelated to migraine,1436,225,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,vomiting,vomiting,vomiting:3.0(same_icd_category;tokens=vomit),
Z68.34,"Body mass index [BMI] 34.0-34.9, adult",778,223,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
T83.9XXA,"Unspecified complication of genitourinary prosthetic device, implant and graft, initial encounter",1044,222,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,pacemaker_implantation,Pacemaker implantation,"pacemaker_implantation:7.0(phrase;tokens=device,implant)",
Z68.33,"Body mass index [BMI] 33.0-33.9, adult",577,222,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
G90.A,Postural orthostatic tachycardia syndrome [POTS],3425,218,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,orthostatic_intolerance,orthostatic intolerance,"orthostatic_intolerance:4.0(same_icd_category;tokens=orthostatic,postural)",
Z68.31,"Body mass index [BMI] 31.0-31.9, adult",619,216,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
R33.8,Other retention of urine,1372,215,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,urinary_incontinence | urinary_retention,urinary incontinence | urinary retention,urinary_incontinence:3.0(same_icd_category;tokens=urine) | urinary_retention:3.0(same_icd_category;tokens=retention),
H90.71,"Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",1335,214,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,age_excessive_snhl,Bilateral sensorineural hearing loss disproportionate to age,"age_excessive_snhl:10.0(phrase;same_icd_category;tokens=hearing,loss,sensorineural)",
Z68.35,"Body mass index [BMI] 35.0-35.9, adult",592,213,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
S46.911A,"Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, right arm, initial encounter",1104,212,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",biceps_rupture:3.0(same_icd_category;tokens=tendon),
L97.912,Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed,11914,209,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,plantar_ulcer | trophic_change,plantar ulcer | trophic change,plantar_ulcer:3.0(same_icd_category;tokens=ulcer) | trophic_change:3.0(same_icd_category;tokens=lower),
Z68.28,"Body mass index [BMI] 28.0-28.9, adult",570,207,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
T82.9XXA,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft, initial encounter",1528,205,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,pacemaker_implantation,Pacemaker implantation,"pacemaker_implantation:7.0(phrase;tokens=device,implant)",
S06.9X9D,"Unspecified intracranial injury with loss of consciousness of unspecified duration, subsequent encounter",2873,202,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)",
Z68.32,"Body mass index [BMI] 32.0-32.9, adult",631,202,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
R13.11,"Dysphagia, oral phase",686,198,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,dysphagia,dysphagia,dysphagia:3.0(same_icd_category;tokens=dysphagia),
E08.65,Diabetes mellitus due to underlying condition with hyperglycemia,1415,192,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
N52.8,Other male erectile dysfunction,755,190,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,erectile_dysfunction,erectile dysfunction,"erectile_dysfunction:9.0(phrase;same_icd_category;tokens=dysfunction,erectile)",
Z68.27,"Body mass index [BMI] 27.0-27.9, adult",522,190,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
I35.9,"Nonrheumatic aortic valve disorder, unspecified",1899,184,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,as_valve | lflg_as,Low-flow low-gradient aortic stenosis | Severe aortic stenosis,"as_valve:4.0(same_icd_category;tokens=aortic,valve) | lflg_as:3.0(same_icd_category;tokens=aortic)",
S46.912A,"Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm, initial encounter",1002,184,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,biceps_rupture,"Spontaneous distal biceps tendon rupture (""Popeye sign"")",biceps_rupture:3.0(same_icd_category;tokens=tendon),
Z68.37,"Body mass index [BMI] 37.0-37.9, adult",489,184,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
Z68.36,"Body mass index [BMI] 36.0-36.9, adult",520,183,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
M32.19,Other organ or system involvement in systemic lupus erythematosus,5351,180,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,autoimmune_disease,autoimmune disease,"autoimmune_disease:8.0(phrase;tokens=erythematosu,lupus,systemic)",
S06.9X9S,"Unspecified intracranial injury with loss of consciousness of unspecified duration, sequela",1603,173,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,syncope,Syncope / presyncope,"syncope:7.0(phrase;tokens=consciousness,loss)",
Z68.38,"Body mass index [BMI] 38.0-38.9, adult",494,169,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
R49.9,Unspecified voice and resonance disorder,588,167,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,hoarseness,hoarseness,hoarseness:3.0(same_icd_category;tokens=voice),
R11.12,Projectile vomiting,676,165,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,vomiting,vomiting,vomiting:3.0(same_icd_category;tokens=vomit),
E10.8,Type 1 diabetes mellitus with unspecified complications,1865,164,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:8.0(phrase;tokens=diabete,mellitu,type)",
E13.65,Other specified diabetes mellitus with hyperglycemia,1341,157,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,diabetes,diabetes,"diabetes:7.0(phrase;tokens=diabete,mellitu)",
R47.81,Slurred speech,978,156,CONFIGURED_ICD_CATEGORY | ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,dysarthria,dysarthria,"dysarthria:9.0(phrase;same_icd_category;tokens=slurr,speech)",
M75.81,"Other shoulder lesions, right shoulder",1123,155,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,rotator_cuff | shoulder_disorder,Other shoulder disorder | Rotator cuff tear / repair,rotator_cuff:3.0(same_icd_category;tokens=shoulder) | shoulder_disorder:3.0(same_icd_category;tokens=shoulder),
G56.23,"Lesion of ulnar nerve, bilateral upper limbs",814,154,CONFIGURED_ICD_CATEGORY,,,NONSPECIFIC_SUPPORT_REVIEW,cts_bilateral,Bilateral carpal tunnel syndrome,cts_bilateral:3.0(same_icd_category;tokens=bilateral),
Z68.39,"Body mass index [BMI] 39.0-39.9, adult",385,149,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
Z68.51,"Body mass index [BMI] pediatric, less than 5th percentile for age",518,147,ATOM_PHRASE_MATCH,,,NONSPECIFIC_SUPPORT_REVIEW,declining_bmi,Declining BMI / modified BMI trajectory,"declining_bmi:8.0(phrase;tokens=bmi,body,index,mass)",
