created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive,row_timestamp,error_logging
2026-09-18 04:26:02.050 -0700,CENSUS,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,2794815,61021696,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
2026-09-18 04:26:45.230 -0700,CLAIMS,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,53311842,633737728,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
2026-09-18 04:39:33.443 -0700,ENCOUNTERS,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,17429113,455345664,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
2026-09-18 04:42:34.484 -0700,LABS,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,133901152,6052174336,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
2026-09-18 06:08:35.004 -0700,MEDICATIONS,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,55652835,1642131456,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
2026-09-18 06:39:22.441 -0700,SURGICAL_HISTORY,UHTX_RDDT_CLINICAL_DEV,PUBLIC,TABLE,,,10000,495104,SYSADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N,N,OFF,OFF
